date,year,site,mat,sample,ana_C/uL,ana_C/uL reruns,nif/uL,DNA_conc,Notes,,,= missing data from Goel Lab
7/17/24,2024,1S,Microcoleus,15,117,NA,629,188.8,,,,
7/17/24,2024,2,Microcoleus,11,15.7,NA,29.1,216.1,,,,
7/17/24,2024,3,Microcoleus,12,0.426,271,0,208.3,,,,
7/17/24,2024,3,Microcoleus,13,17,1065,30,223.4,,,,
7/17/24,2024,4,Microcoleus,14,22.1,NA,0,228.3,,,,
7/31/24,2024,1S,Microcoleus,28,0.226,NA,0,183.1,,,,
7/31/24,2024,2,Microcoleus,30,17,NA,7.05,219.1,,,,
7/31/24,2024,3,Microcoleus,32,0,10.67,0,347,,,,
7/31/24,2024,3,Microcoleus,33,0.388,20.5,0,294.3,,,,
7/31/24,2024,4,Microcoleus,36,2.01,NA,46.6,140.8,,,,
8/14/24,2024,1S,Microcoleus,38,1236,NA,0,234.2,,,,
8/14/24,2024,2,Microcoleus,40,48100,NA,0,315.8,,,,
8/14/24,2024,3,Microcoleus,42,0,NA,0,139.6,,,,
8/14/24,2024,4,Microcoleus,44,41.3,NA,223,134.9,,,,
8/26/24,2024,1S,Microcoleus,71,4.44,NA,194,23.2,,,,
8/26/24,2024,2,Microcoleus,75,1.04,NA,0,180.7,,,,
8/26/24,2024,3,Microcoleus,73,0,NA,0,195.7,,,,
8/26/24,2024,4,Microcoleus,77,0,NA,0,52.2,,,,
9/14/24,2024,1S,Microcoleus,86,31.5,NA,2.91,259.8,,,,
9/14/24,2024,2,Microcoleus,84,203,NA,209,19,,,,
9/14/24,2024,3,Microcoleus,82,5.87,NA,118,216.8,,,,
9/14/24,2024,4,Microcoleus,80,128,NA,2.57,136,,,,
9/27/24,2024,1S,Microcoleus,100,0.728,NA,0,159.5,,,,
9/27/24,2024,2,Microcoleus,101,0,NA,0,321.3,,,,
9/27/24,2024,4,Microcoleus,103,117,NA,7.91,38.9,,,,
10/10/24,2024,1S,Microcoleus,105,0,NA,13.3,327.3,,,,
10/10/24,2024,2,Microcoleus,106,1.68,NA,7.78,57.7,,,,
10/10/24,2024,4,Microcoleus,108,0,NA,0,142,,,,
7/17/24,2024,1S,Anabaena,16,48.1,NA,28883,97.4,,,,
7/31/24,2024,1S,Anabaena,29,1316,NA,1196,82,,,,
7/31/24,2024,2,Anabaena,31,18072,NA,83867,45.4,,,,
7/31/24,2024,3,Anabaena,34,124000000,904,0,125.1,,,,
7/31/24,2024,3,Anabaena,35,1.12,10590,0,35.2,,,,
7/31/24,2024,4,Anabaena,37,2445,NA,34938,30,,,,
8/14/24,2024,1S,Anabaena,39,0,NA,1990000,206.2,,,,
8/14/24,2024,2,Anabaena,41,47300,NA,6.53,48.1,,,,
8/14/24,2024,3,Anabaena,43,0,NA,0,114.2,,,,
8/14/24,2024,4,Anabaena,45,0,NA,3910000,324.4,,,,
8/26/24,2024,1S,Anabaena,72,50.9,NA,10095,22.5,,,,
8/26/24,2024,2,Anabaena,74,0.931,NA,52.6,57.8,,,,
8/26/24,2024,3,Anabaena,76,2940000,NA,1202,59,,,,
8/26/24,2024,4,Anabaena,78,215000000,NA,2794,40.3,,,,
9/14/24,2024,1S,Anabaena,87,312000000,NA,0,46.2,,,,
9/14/24,2024,2,Anabaena,85,7.71,NA,4.27,30.4,,,,
9/14/24,2024,3,Anabaena,83,2.34,NA,0,103,,,,
9/14/24,2024,4,Anabaena,81,0,NA,0,53.8,,,,
9/27/24,2024,3,Anabaena,102,0,NA,0,123.1,,,,
9/27/24,2024,4,Anabaena,104,132,NA,2266,52.2,,,,
10/10/24,2024,3,Anabaena,107,457,NA,597,56.7,,,,
10/10/24,2024,4,Anabaena,109,0,NA,440000,33.7,,,,
